strategy,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_fact_mean,f1_fact_std,f1_false_mean,f1_false_std,precision_fact_mean,recall_fact_mean,precision_false_mean,recall_false_mean,mean_confidence_mean,n_iterations,total_samples
few_shot,0.7346726542188609,0.001550576172711567,0.5575578819192961,0.004453724409518443,0.2776281406274155,0.008577857793168697,0.8374876232111765,0.0009591393814357058,0.5573676469973006,0.1849185946872322,0.7525407776773012,0.9440600522193211,0.828326636728916,5,21155
one_shot,0.7339163318364452,0.0019224485377133437,0.5600840127759792,0.003609429410220998,0.2835502468476838,0.006314893228019482,0.8366177787042746,0.0011963653107661704,0.5509602625720709,0.19091688089117395,0.7532546510391478,0.9407310704960835,0.8357362325691422,5,21155
zero_shot,0.7334436303474356,0.003370464376265841,0.5649220981835732,0.0048984049460573205,0.2941479450257458,0.007998011366214045,0.8356962513414008,0.0022128654676744014,0.5457332976696541,0.20137103684661523,0.7547494598032054,0.9360966057441253,0.7948768612621168,5,21155
